date,source,project,session_id,size_bytes,subagent_count,file_path
2026-01-20,claude,~tm,0aff01c0-8053-43ba-8b3a-7cdaed169096,5196,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/0aff01c0-8053-43ba-8b3a-7cdaed169096.jsonl
2026-01-21,claude,~tm,0d409ae0-9ffe-43b3-b2bc-8b9e56440289,9739356,1,/home/pavel/.claude/projects/-home-pavel-dev-tm/0d409ae0-9ffe-43b3-b2bc-8b9e56440289.jsonl
2026-01-21,claude,~tm,1c0553a1-9b3b-47dd-afdc-fd85d11fea34,1367670,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/1c0553a1-9b3b-47dd-afdc-fd85d11fea34.jsonl
2026-01-21,claude,~tm,2025c992-561c-4616-9401-69f4f39bb59c,882625,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/2025c992-561c-4616-9401-69f4f39bb59c.jsonl
2026-01-21,claude,~tm,2b589b9b-8a18-4277-8a3a-41e6154214da,389762,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/2b589b9b-8a18-4277-8a3a-41e6154214da.jsonl
2026-01-21,claude,~tm,41b84f6d-f545-4519-85e9-cbc7af1f3c29,5397282,1,/home/pavel/.claude/projects/-home-pavel-dev-tm/41b84f6d-f545-4519-85e9-cbc7af1f3c29.jsonl
2026-01-21,claude,~tm,48c94b9e-cbc4-42d2-b431-84cca9e185f9,1384293,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/48c94b9e-cbc4-42d2-b431-84cca9e185f9.jsonl
2026-01-21,claude,~tm,4c609a0f-65c3-40d0-b652-5b1d9e590a69,6150,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/4c609a0f-65c3-40d0-b652-5b1d9e590a69.jsonl
2026-01-21,claude,~tm,57fd6f30-c58a-4ed6-9734-3bbfefb9d150,80535,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/57fd6f30-c58a-4ed6-9734-3bbfefb9d150.jsonl
2026-01-21,claude,~tm,5e0303d4-b854-4bca-afcd-6ca8613b5ec8,1918,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/5e0303d4-b854-4bca-afcd-6ca8613b5ec8.jsonl
2026-01-21,claude,~tm,7814a3be-9d92-4f9d-8e9f-1797317ae507,3423,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/7814a3be-9d92-4f9d-8e9f-1797317ae507.jsonl
2026-01-21,claude,~tm,8cb38ec0-b76e-40ad-a1ba-daebdbeeda25,1038748,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/8cb38ec0-b76e-40ad-a1ba-daebdbeeda25.jsonl
2026-01-21,claude,~tm,92d3ff8e-b3eb-4b9a-9670-06aa7b58af92,934,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/92d3ff8e-b3eb-4b9a-9670-06aa7b58af92.jsonl
2026-01-21,claude,~tm,a391b20f-958e-4702-8444-cfa01e3e94e7,574,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/a391b20f-958e-4702-8444-cfa01e3e94e7.jsonl
2026-01-21,claude,~tm,aaef2978-12a8-46d1-8014-e55268c0c264,934,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/aaef2978-12a8-46d1-8014-e55268c0c264.jsonl
2026-01-21,claude,~tm,bcefa471-322a-4049-a1cc-427a01ef8cf7,3545,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/bcefa471-322a-4049-a1cc-427a01ef8cf7.jsonl
2026-01-21,claude,~tm,bf399baf-e943-4ef7-93f9-635b7d4d9be2,7369106,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/bf399baf-e943-4ef7-93f9-635b7d4d9be2.jsonl
2026-01-21,claude,~tm,c4ca1453-d7ee-4692-a0a0-d57384c35b61,934,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/c4ca1453-d7ee-4692-a0a0-d57384c35b61.jsonl
2026-01-21,claude,~tm,cbf6e454-769b-4523-9dee-7ba9327193dd,8311113,2,/home/pavel/.claude/projects/-home-pavel-dev-tm/cbf6e454-769b-4523-9dee-7ba9327193dd.jsonl
2026-01-21,claude,~tm,d1ce7819-dd58-47ef-a26a-c47308a3dd7a,110209,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/d1ce7819-dd58-47ef-a26a-c47308a3dd7a.jsonl
2026-01-21,claude,~tm,d5ba37bb-f13c-4071-b731-3f5ba699eb11,3332959,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/d5ba37bb-f13c-4071-b731-3f5ba699eb11.jsonl
2026-01-21,claude,~tm,d8573fe1-4f4c-4199-a61b-fa55d8277202,1997333,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/d8573fe1-4f4c-4199-a61b-fa55d8277202.jsonl
2026-01-21,claude,~tm,dcd61d7e-1ea7-447d-b438-629c0d84d715,32863,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/dcd61d7e-1ea7-447d-b438-629c0d84d715.jsonl
2026-01-21,claude,~tm,e12e7b8d-ddde-4b55-9a24-a1e26a9ebaa7,1039906,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/e12e7b8d-ddde-4b55-9a24-a1e26a9ebaa7.jsonl
2026-01-21,claude,~tm,ec2ad90f-ff1f-4f4c-8673-241b53a668fb,293576,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/ec2ad90f-ff1f-4f4c-8673-241b53a668fb.jsonl
2026-01-21,claude,~tm,efbbc223-6cc2-4e6a-aa09-5fb092c9b04b,1611085,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/efbbc223-6cc2-4e6a-aa09-5fb092c9b04b.jsonl
2026-01-21,claude,~tm,f0eb2fdd-5687-4125-82c1-e9dfc3231f02,3320251,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/f0eb2fdd-5687-4125-82c1-e9dfc3231f02.jsonl
2026-01-22,claude,~tm,056ae8c7-0ed8-4095-840d-1377d40d8094,1962454,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/056ae8c7-0ed8-4095-840d-1377d40d8094.jsonl
2026-01-22,claude,~tm,2184c8e6-553c-458d-b1c1-e15d83267dd4,389369,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/2184c8e6-553c-458d-b1c1-e15d83267dd4.jsonl
2026-01-22,claude,~tm,889a37dd-0c10-41e8-a7bc-1a667484d37f,934,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/889a37dd-0c10-41e8-a7bc-1a667484d37f.jsonl
2026-01-22,claude,~tm,95eaa493-53bd-43f7-955b-510a4398c127,10975,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/95eaa493-53bd-43f7-955b-510a4398c127.jsonl
2026-01-22,claude,~tm,9de44687-2137-4795-a047-18f120f9b2ec,6722,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/9de44687-2137-4795-a047-18f120f9b2ec.jsonl
2026-01-22,claude,~tm,9eedce47-a248-4780-8830-317d122b6ad3,7049,0,/home/pavel/.claude/projects/-home-pavel-dev-tm/9eedce47-a248-4780-8830-317d122b6ad3.jsonl
